PoleStudio_Name,Adresse,PLZ,Stadt,Straße,Buttons,Pole Studio Beschreibung,E-Mail,Homepage,Telefon,URL_S,Art,Angebot,Created Date,Updated Date
Pole Dance Beauties,"['Edmund-von-Lippmann-Straße 9 ', ' 06112 Halle (Saale)']",06112,Halle,Edmund-von-Lippmann-Straße 9,"['Übersicht', 'Klassen', 'Trainings', 'Videos', 'Preise', 'Team']",Pole Dance Beauties - Dein Pole Dance Studio in Halle (Saale), kontakt@poledancebeauties.de,http://www.poledancebeauties.de,+49 1797553246,https://www.eversports.de/s/pole-dance-beauties,"['Aerial Hoop', 'Stretching', 'Poledance', 'Pilates', 'Krafttraining', 'Twerken', 'Poledance', 'Aerial Yoga', '26 Rezensionen', 'Pilates', 'Poledance', 'Aerial Yoga', 'Krafttraining', 'Stretching', 'Handstand', 'Chairdance', 'Aerial Hoop', 'Kindersport', 'Kraft-Ausdauer-Zirkel', 'Moderner Tanz', 'Twerken', 'Fitness und Yoga', 'Pole handstand']",1 Angebot für Neukund:innen,2024-02-17 18:28:45,2024-02-17 18:28:45
Dance & Pole Deltawerk,"['Gasstraße 10-18', ' 42657 Solingen']",42657,Solingen,Gasstraße 10-18,"['Übersicht', 'Klassen', 'Preise', 'Team']","Wir sind ein kleines, sehr persönliches Studio mit einer großen Auswahl an Kursangeboten.
Dance & Pole in Leverkusen ist ein Studio, in dem Tanz und Leidenschaft mit der Stange eins werden.
Das Angebot ist umfangreich, komm einfach mal vorbei und lass dich von uns inspirieren.", info@danceandpole.de,https://www.danceandpole.de/,+49 1741929037,https://www.eversports.de/s/dance-and-pole-deltawerk,"['Poledance', 'Poledance', 'Poledance', 'Poledance', 'Contemporary Dance', 'Ballett-Fitness', '(Noch keine Bewertungen)', 'Poledance']",Zum Stundenplan,2024-02-17 18:28:50,2024-02-17 18:28:50
A heart for poledance,"['Nußbaumer Straße 6', ' 51469 Bergisch Gladbach']",51469,Bergisch,Nußbaumer Straße 6,"['Übersicht', 'Klassen', 'Trainings', 'Workshops', 'Preise', 'Team']","Poledance...

...ist mehr als nur an der Stange tanzen!
Poledance/-fitness kombiniert Tanz, Akrobatik, Kraft-/Ausdauertraining und Flexibilität. Es fordert die Körperspannung und Konzentration sowie die Koordination, so dass Poledance/-fitness zu einem Ganzkörpertraining wird.
Wir möchten Frauen und Männern Poledance näher bringen. In erster Linie möchten wir Spaß dabei haben, was jedoch mit hartem Training verbunden ist und mit einem besserem Selbstwertgefühl belohnt wird. Jeder kann an sich neue Seiten entdecken und sich selbst neu erfinden, seine neu erlernten Fähigkeiten in seinem eigenen Stil zum Ausdruck bringen. 
Unabhängig wie groß oder klein, jung oder alt man ist, sportlich oder nicht - jeder kann Poledance lernen und seine Leidenschaft dafür entdecken. Achtung! Es besteht Suchtgefahr...", info@aheartforpoledance.de,http://www.aheartforpoledance.de,+49 1634485262,https://www.eversports.de/s/a-heart-for-poledance-1,"['Poledance', 'Poledance', 'Poledance', 'Poledance', 'Poledance', '16 Rezensionen', 'Poledance']",Zum Stundenplan,2024-02-17 18:28:55,2024-02-17 18:28:55
Polefly Academy,"['Bürgermeister-Wegele-Straße 6A ', ' 86167 Augsburg']",86167,Augsburg,Bürgermeister-Wegele-Straße 6A,"['Übersicht', 'Klassen', 'Preise', 'Team']","Polefly Academy - dein ""place to be"" in Augsburg, wo du die Schwerkraft tanzend überwinden wirst.Wir bieten Pole Dance Stunden an und fokussieren uns dabei auf den tänzerischen Stil. Bei uns trainierst du in den Leveln Anfänger, Mittelstufe und Fortgeschrittenen in einer festen Gruppe und wir lernen gemeinsam Choreographien, die mit der Zeit immer anspruchsvoller werden. Ebenso bieten wir Spezialkurse (z.B. Floorwork und Exotic), Workshops und Junggesellinnenabschiede an. Auch abseits der Pole wirst du bei uns sicherlich fündig. Unser Kursangebot aus den Bereichen Yoga, Stretching und Fitness wird stetig erweitert. Komm gerne vorbei, wir freuen uns :-)", office@polefly-academy.de,,,https://www.eversports.de/s/polefly-academy,"['Poledance', 'Chairdance', 'Poledance', 'Stretching', 'Power Pole', 'Chairdance', 'Power Pole', 'Poledance', '2 Rezensionen', 'Poledance', 'Power Pole', 'Stretching', 'Chairdance', 'Vinyasa Yoga', 'Aerial Dance', 'Polesport', 'Workout', 'Fitness und Yoga', 'Exotic']",Zum Stundenplan,2024-02-17 18:29:07,2024-02-17 18:29:07
TSG Blau-Gold Gießen e.V.,"['An der Hessenhalle 1', ' 35398 Gießen']",35398,Gießen,An der Hessenhalle 1,"['Übersicht', 'Klassen', 'Workshops', 'Preise', 'Team']","Du tanzt gerne? Gesundheit und Fitness sind dir wichtig? Du möchtest etwas ganze Neues ausprobieren? Kampfsport ist dein Ding?
Dann bist du bei uns richtig!
Für einen Monatsbeitrag von € 25,--(tatsächlich, das sind € 6,25 pro Woche!!!!) können ALLE Angebote des Vereins wahrgenommen werden. Jeden Tag wenn ihr wollt! Z.B. mehrmals die Woche Ballett, Yoga, Hip-Hop, Zumba, Pole-Dance und zahlreiche Fitness- und Kampfsportkurse - keine Festlegung auf einen bestimmten Kurs!
Einfach eine Schnupperkarte buchen und unverbindlich ausprobieren! Einstieg jederzeit (außer Leistungskurse) möglich!
Montags Yoga, dienstags Zumba, mittwochs Jumping/Trampolin, donnerstags Fitness, freitags Ballett und Kampfsport, sonntags Salsa+Bachata, jeden Tag Pole Dance oder Aerial Hoop - alle Kombinationen sind möglich!
Vergleicht Angebotsvielfalt, Preis und Leistung mit anderen Vereinen, Fitness-Studios, Tanzschulen, Ballettschulen, Yoga- und Pole-Studios, Kampfsportschulen +++ und beachtet, dass ihr in all unsere Kursen von ausgebildeten Fachkräften betreut werdet! Wir bieten in fast 70 Angeboten über 170 Kurse in der Woche an!!!", tsg-giessen@gmx.de,http://www.tsg-giessen.de,,https://www.eversports.de/s/tsg-blau-gold-giessen-ev,"['Fitness', 'Zumba', 'Rhythmische Gymnastik', 'Fitness', 'Poledance', 'Taekwondo', 'Poledance', 'Polesport', '141 Rezensionen', 'Boxen', 'Fitness', 'Kampfsport', 'Pilates', 'Qi Gong', 'Tanzen', 'Turnen', 'Yoga', 'Aerobic', 'Zumba', 'Capoeira', 'Hip Hop', 'Poledance', 'Krav Maga', 'Kickboxen', 'Thaiboxen', 'Judo', 'Taekwondo', 'Mixed Martial Arts', 'Kung Fu', 'Tai Chi', 'Parkour', 'Breakdance', 'Salsa', 'Ballett', 'Gesellschaftstanz', 'Selbstverteidigung', 'Multisport', 'Rückenfit', 'Bootcamp', 'Akrobatik', 'Faszientraining', 'Meditation', 'Tabata', 'Stretching', 'Chairdance', 'Aerial Silk', 'Aerial Hoop', 'Hatha Yoga', 'Ashtanga Yoga', 'Polesport', 'Bauch, Beine, Po', 'Eltern und Kind', 'Kettlebell', 'Jumping Fitness', 'Kindertanz', 'Moderner Tanz', 'Kizomba', 'Bachata', 'Heels', 'Fitboxen', 'Hula Hoop', 'Ernährung', 'Lateinamerikanischer Tanz', 'Strong Nation®', 'Moderner Jazz-Tanz', 'Twerken', 'Multisportplatz', 'Argentinischer Tango', 'Dancehall', 'Bungee Fitness', 'MamaFit', 'Intervalltraining', 'Jazztanz', 'Contemporary Dance', 'Tanzimprovisation', 'Zirkus', 'Bühnentanz', ""Rock 'n' Roll"", 'Ballett-Fitness', 'Cardio-Kickboxing', 'Dance Fitness', 'Fighter Fitness', 'Rhythmische Gymnastik', 'Hochzeitstanz', 'Bands-Workout', 'Loop-Bands-Workout', 'Mini-Bands-Workout', 'Bodyweight Training', 'Voguing', 'Aerial Hammock', 'Israelische Tänze', 'Rope Skipping', 'Showtanz', 'Tik-Tok Dance', 'Female Dance', 'Lyrical Dance', 'Steelmace']",Kostenlos Schnuppern,2024-02-17 18:29:12,2024-02-17 18:29:12
Polestructions,"['Auguststraße 8', ' 53229 Bonn']",53229,Bonn,Auguststraße 8,"['Übersicht', 'Klassen', 'Videos', 'Preise', 'Team']","Polestructions ist ein Poledance Studio in Bonn. Hier findest Du Kurse in Pole Fitness und Luftakrobatik (Aerial Silk und Aerial Hoop). Weitere Kurse im vielfältigen Angebot sind Stretch & Contortion, Floorwork, Chair Dance, Acroyoga und Jumping. Interessiert? Für 10 Euro kannst du jederzeit eine Probestunde in der Auguststraße in Bonn-Beuel besuchen. Bei Polestructions gibt es auch regelmäßig dreistündige Workshops, damit sich eine längere Anfahrt lohnt.", info@polestructions.com,https://polestructions.com/,+49 178 605 80 30,https://www.eversports.de/s/polestructions,"['Fitness', 'Tanzen', 'Tanzen', 'Salsa', 'Tanzen', 'Funsport', 'Poledance', 'Fitness', 'Fitness', 'Tanzen', '165 Rezensionen', 'Fitness', 'Tanzen', 'Poledance', 'Funsport', 'Personal Training', 'Flexibles Training', 'Gruppenangebote', 'Events', 'Akrobatik', 'Umkleidekabine', 'Tagestarife', 'Raumvermietung', 'Floorwork', 'Chairdance', 'Aerial Silk', 'Aerial Dance', 'Aerial Hoop', 'Aerial Akrobatik']",1 Angebot für Neukund:innen,2024-02-17 18:29:24,2024-02-17 18:29:24
Stadtgazellen Studio,"['Neulandstraße 12 ', ' 49084 Osnabrück']",49084,Osnabrück,Neulandstraße 12,"['Übersicht', 'Klassen', 'Kurse', 'Preise', 'Team']","Dein Studio für Poledance und Luftakrobatik in Osnabrück! In unserem wunderschönen Studio mit Loftcharakter bieten wir euch Pole Dance und Aerial Fitness Kurse auf höchstem Niveau. Unsere professionell ausgebildeten Trainer unterrichten euch in Kleingruppen um ein gesundheitsorientiertes, qualitativ hochwertiges Fitness- und Tanztraining mit viel Spaß zu bieten. Jedem Teilnehmer steht ein eigenes Luftakrobatikgerät zur Verfügung. Auf 250qm Fläche findet ihr zwei Kursräume und einen großzügigen Umkleidebereich mit Kaffeeküche, Lounge Bereich und Dusche. Ausreichend kostenlose Parkplätze stehen im Innenhof der Neulandstr. 12 zur Verfügung.", info@stadtgazellen-studio.de,http://www.stadtgazellen-studio.de,+491743017074‬,https://www.eversports.de/s/stadtgazellen-studio,"['Ballett-Fitness', 'Stretching', 'Aerial Silk', 'Stretching', 'Stretching', 'Poledance', 'Poledance', 'Aerial Akrobatik', 'Online Klasse', 'Aerial Hoop', '73 Rezensionen', 'Fitness', 'Yoga', 'Poledance', 'Aerial Yoga', 'Afrikanischer Tanz', 'Stretching', 'Floorwork', 'Aerial Silk', 'Aerial Hoop', 'Aerial Akrobatik', 'Online Klasse', 'Contemporary Dance', 'Dancehall', 'Ballett-Fitness', 'Dance Fitness', 'Body Conditioning für Tänzer:innen']",Zum Stundenplan,2024-02-17 18:29:28,2024-02-17 18:29:28
Seemannsbraut Poledance,"['Ochsenweg 27-29 ', ' 24941 Flensburg']",24941,Flensburg,Ochsenweg 27-29,"['Übersicht', 'Klassen', 'Kurse', 'Workshops', 'Preise', 'Team']","Moin und willkommen an Bord in unserem Poledance Studio Seemannsbraut.Auf 200qm kannst du dich in unserem maritimen Studio so richtig auspowern und mit viel Freude deinem Hobby nachgehen. Hier findest du alles, was dein Tänzerherz sich wünscht.Aufgeteilt in 2 Trainingsräumen bieten wir dir neben 9 Poledance Stangen auch Aerial Silk, Aerial Hoop und viele andere Kurse an, die dich zum schwitzen bringen und bei denen du mit viel Spaß deine Flexibilität verbessern, sowie deine Kondition und Kraft aufbauen kannst.Polesport, Klimmzugstangen, Sprossenwände, Gewichte, Yoga und viele andere Kurse mit unserer tollen Trainercrew warten auf dich.Unsere qualifizierten Trainer stehen dir jederzeit mit Rat und Tat zur Seite und helfen dir, dich stetig zu verbessern und Erfolgserlebnisse zu erzielen.In unserer maritimen Lounge kannst du Getränke und Snacks zu dir nehmen und in unserem Shop stöbern.Für dich stehen 2 Umkleiden und sanitäre Anlagen bereit.Schau mal rein und werde ein Teil der Seemannsbraut- Familie. Egal ob Mann, Frau oder Divers, bei uns an Bord ist jeder willkommen. Auch das Alter spielt keine Rolle.Wir freuen uns auf dich!Komm an Bord.Unsere Mitgliedschaften kannst du vor Ort im Studio abschließen oder schreibe uns eine mail. Mit den ALL Inclusive Mitgliedschaften kannst du alle Angebote unbegrenzt buchen.Alternativ haben wir auch ALL Inclusive 10-er Karten für dich.", seemannsbraut-poledance@web.de,http://www.seemannsbraut-poledance.de,,https://www.eversports.de/s/seemannsbraut-poledance,"['Poledance', 'HIIT', 'Yoga', 'Poledance', 'Poledance', 'Poledance', 'Tanzen', 'Funktionelles Training', 'HIIT', 'Poledance', 'Polesport', '36 Rezensionen', 'Tanzen', 'Yoga', 'Poledance', 'Funktionelles Training', 'Kangoo Jumps', 'HIIT', 'Stretching', 'Lapdance', 'Chairdance', 'Aerial Silk', 'Aerial Hoop', 'Kinderyoga', 'Polesport', 'twerXout®', 'Hula Hoop', 'Contemporary Dance', 'Step']",1 Angebot für Neukund:innen,2024-02-17 18:29:32,2024-02-17 18:29:32
Stadtgazellen Bremen,"['Bremerhavener Straße 210 ', ' 28217 Bremen']",28217,Bremen,Bremerhavener Straße 210,"['Übersicht', 'Klassen', 'Workshops', 'Preise', 'Team']","Dein Studio für Poledance und Luftakrobatik in Bremen! In unserem wunderschönen Studio mit Loftcharakter bieten wir euch Pole Dance und Aerial Fitness Kurse auf höchstem Niveau. Unsere professionell ausgebildeten Trainer unterrichten euch in Kleingruppen um ein gesundheitsorientiertes, qualitativ hochwertiges Fitness- und Tanztraining mit viel Spaß zu bieten. Jedem Teilnehmer steht ein eigenes Luftakrobatikgerät zur Verfügung. Auf 300qm Fläche findet ihr zwei Kursräume und einen großzügigen Umkleidebereich mit Kaffeeküche und Lounge. Ausreichend kostenlose Parkplätze stehen euch um das Studio herum zur Verfügung.", info@poledance-bremen.de,http://www.poledance-bremen.de,+4915154033605,https://www.eversports.de/s/stadtgazellen-bremen,"['Aerial Yoga', 'Poledance', 'Poledance', 'Stretching', 'Poledance', 'Aerial Hoop', 'Poledance', 'Poledance', 'Stretching', '86 Rezensionen', 'Poledance', 'Aerial Yoga', 'Stretching', 'Aerial Silk', 'Aerial Hoop', 'Aerial Akrobatik', 'Online Klasse']",1 Angebot für Neukund:innen,2024-02-17 18:29:46,2024-02-17 18:29:46
Munich Poledance,"['Leonrodplatz 2', ' 80636 München']",80636,München,Leonrodplatz 2,"['Übersicht', 'Klassen', 'Videos', 'Preise', 'Team']","Herzlich Willkommen bei Munich Poledance.
In einer entspannten und freundlichen Atmosphäre kannst Du Deine ersten Schritte im Poledance wagen, über Dich selbst hinauswachsen und vor allem ganz viel Freude an Bewegung haben.
Wie der Name schon sagt, liegt der Fokus bei Munich Poledance ganz klar auf Poledance (Static, Spin, Heels,...), aber das Angebot umfasst auch weitere Formate wie Aerial Hoop, Chairdance, Floorwork, Lapdance und Strip'nTease sowie FeetUp, Flexibility, Workout und Yoga. Sämtliche Formate können je nach Kursplan als Gruppenkurse oder auf Anfrage auch als Privatstunden/private Kleingruppen gebucht werden. Außerdem gibt es die Möglichkeit für Freies Training im Beisein einer Trainerin. Auch für Mädelsabende, (Geburtstags-)Partys, sowie Junggesellinnenabschiede wird Munich Poledance gerne gebucht.
Bei uns sind natürlich alle Altersstufen und Erfahrungs-Niveaus herzlich Willkommen.
Durch große Fensterfronten wirkt das Studio sehr hell und freundlich. Eine Umkleide mit geräumigen Spinden sowie 2 Duschen ist für unsere KundInnen natürlich auch vorhanden.
Das Munich Poledance Studio liegt direkt am Leonrodplatz in München und ist gut mit den öffentlichen Verkehrsmitteln (Straßenbahnlinie 12/20/21 sowie Buslinie 53) sowie dem Fahrrad und Auto erreichbar.
Über das Team
Seit April 2020 ist die langjährige Trainerin Isabel nun Inhaberin von Munich Poledance.
Da sie Studentin im Bereich Fitness- & Gesundheitsmanagement ist, liegt ihr die Nachhaltigkeit des Trainings sowie ständige Aus- und Weiterbildung sehr am Herzen. Um ein möglichst gesundes, sicheres und vielfältiges Training anzubieten, ist das Munich Poledance Trainerteam deswegen sehr gut ausgebildet und hochwertig zertifiziert.
Natürlich soll der Spaß und Freude an Bewegung auch nicht zu kurz kommen und so bringen alle TrainerInnen ihre eigene Seite und den persönlichen Humor mit in die Stunden mit ein.
Besuche uns und lerne unser einzigartiges Trainerteam kennen!
Fragen und Antworten
Was sollte ich sonst noch wissen?
Alle häufig gestellten Fragen findest Du in unserem Q&A auf der Website. Für weitere Fragen steht Dir das MPD Team per E-Mail (isabel@munich-poledance.de) oder telefonisch/per WhatsApp unter 015906736735 gerne zur Verfügung.", info@munich-poledance.de,https://www.munich-poledance.de,015906736735,https://www.eversports.de/s/munich-poledance,"['Yoga', 'Personal Training', 'Poledance', 'Power Pole', 'Poledance', 'Power Pole', 'Yoga', 'Poledance', 'Floorwork', 'Lapdance', '84 Rezensionen', 'Yoga', 'Poledance', 'Personal Training', 'Power Pole', 'Stretching', 'Floorwork', 'Lapdance', 'Chairdance', 'Aerial Silk', 'Aerial Hoop', 'Polesport', 'Heels', 'Online Klasse', 'Workout', 'Dehnung/Flexibilität', 'Exotic', 'Probetraining', 'Feet-Up', 'Striptease', 'Strip Plastic', 'Tease']",3 Angebote für Neukund:innen,2024-02-17 18:29:55,2024-02-17 18:29:55
Pole and Move Ketsch,"['Gutenbergstraße 36 ', ' 68775 Ketsch']",68775,Ketsch,Gutenbergstraße 36,"['Übersicht', 'Klassen', 'Workshops', 'Preise', 'Team']","Willkommen bei Pole and Move. Unser Motto 2022: Egal was passiert am Ende werden wir Tanzen. Unsere Studios befinden sich in Mannheim, Heidelberg und Ketsch und natürlich auch Online. Wir sind ein junges, dynamisches und motiviertes Unternehmen in der Sport- und Fitnessbranche, welches sich hauptsächlich auf den Polesport & Arial Arts konzentriert.Wir freuen uns auf alle Tanz- und Sportbegeisterte, die uns einmal besuchen möchten.", team@poleandmove.de,https://poleandmove.de/,+49176 61653663,https://www.eversports.de/s/pole-and-move-ketsch,"['Power Pole', 'Poledance', 'Power Pole', 'Poledance', 'Power Pole', 'Poledance', 'Power Pole', 'Poledance', 'Fitness', 'Poledance', '25 Rezensionen', 'Fitness', 'Poledance', 'Power Pole', 'Stretching', 'Handstand', 'Polesport', 'Jumping Fitness', 'Burlesque', 'Twerken', 'Exotic']",2 Angebote für Neukund:innen,2024-02-17 18:30:01,2024-02-17 18:30:01
(INACTIVE) POLE CIRCUS Augsburg,"['Rehmstraße 4', ' 86161 Augsburg']",86161,Augsburg,Rehmstraße 4,['Übersicht'],"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.", info@polecircus.de,https://www.polecircus.de,+4917670153933,https://www.eversports.de/s/pole-circus,"['1 Rezensionen', 'Poledance', 'Barre-Training', 'Stretching', 'Aerial Silk', 'Aerial Hoop']",,2024-02-17 18:30:10,2024-02-17 18:30:10
Soul Flight,"['Lobeckstraße 36', ' 10969 Berlin']",10969,Berlin,Lobeckstraße 36,['Übersicht'],"Pole Dance ist ein Tanz, welcher Kraft, Eleganz und Schönheit verbindet. Er steht für die Verschmelzung von Verführung und Akrobatik. Im Poledance Studio Soul Flight, erlernst du diese ästhetische Trainingsmethode nicht nur genauer kennen, sondern trainierst zugleich deinen ganzen Körper, straffst diesen und wirst so Stück für Stück flexibler. Soul Flight bietet neben hochmotivierten Trainern, professionellen Trainingsgeräten und jeder Menge Platz zur freien Entfaltung auch hippe beats und lässt dich den Alltagsstress vergessen. Ausgestattet ist das Studio mit 2 Poledanceräumen, sowie 4,50 m hohen Wettkampfstangen, die zu 100% aus Edelstahl bestehen. Verankert sind diese mit fünf 12er Schrauben, sowohl oben als auch unten und stehen dir für dein Training zur Verfügung.", info@soulflight.de,http://www.soulflight.de,+49 17656888299,https://www.eversports.de/s/soul-flight,"['5 Rezensionen', 'Fitness', 'TRX® Suspension Training', 'Power Pole', 'Stretching', 'Floorwork', 'Poledance', 'Flexibles Training', 'Lapdance', 'Chairdance', 'Aerial Silk', 'Aerial Hoop', 'Aerial Dance', 'Aerial Akrobatik']",1 Angebot für Neukund:innen,2024-02-17 18:30:14,2024-02-17 18:30:14
Pole Faction - Rhein-Neckar,"['Heddesheimer Straße 39 ', ' 69493 Hirschberg an der Bergstraße']",69493,Hirschberg,Heddesheimer Straße 39,"['Übersicht', 'Klassen', 'Workshops', 'Preise', 'Team']","Herzlich Willkommen bei Pole Faction!Bei uns geht es nicht nur ums Tanzen an der Stange, sondern um die Entfaltung deiner ganz persönlichen Stärke und Schönheit.In unseren liebevoll gestalteten Räumlichkeiten erwartet dich nicht nur eine professionelle Umgebung, sondern vor allem eine Gemeinschaft von Menschen, die genauso neugierig und begeistert von der Kunst des Pole Dance sind wie du. Egal, ob du Anfänger oder Fortgeschrittener bist, bei uns findest du Kurse, die auf jede Stufe abgestimmt sind. Unsere erfahrenen Trainerinnen und Trainer begleiten dich dabei, nicht nur atemberaubende Figuren zu erlernen, sondern auch deine individuellen Ziele zu erreichen.Wir verstehen Pole Dance nicht nur als Sport, sondern als eine Reise zu mehr Selbstvertrauen, Ausdruck und Spaß an der Bewegung. Hier kannst du nicht nur deine körperliche Fitness verbessern, sondern auch Freundschaften schließen und Teil einer inspirierenden Community werden.Unsere Leidenschaft für Pole Dance spiegelt sich nicht nur in unseren Kursen wider, sondern auch in der positiven Energie, die du in jedem unserer Räume spüren wirst. Wir laden dich ein, mit uns zu tanzen, zu lachen und gemeinsam zu wachsen – sei Teil unserer Pole-Familie!Entdecke das Beste in dir – im Pole Faction Studio. Wir freuen uns darauf, dich auf der Stange begrüßen zu dürfen! 💫", info@pole-faction.de,http://www.pole-faction.de,+49 15225933500,https://www.eversports.de/s/pole-faction-rhein-neckar,"['Aerial Hoop', 'Poledance', 'Polesport', 'Poledance', 'Polesport', 'Poledance', 'Poledance', 'Aerial Hoop', 'Poledance', 'Aerial Hoop', '1 Rezensionen', 'Poledance', 'Stretching', 'Floorwork', 'Chairdance', 'Aerial Hoop', 'Polesport', 'Heels', 'Choreographie']",2 Angebote für Neukund:innen,2024-02-17 18:30:18,2024-02-17 18:30:18
PoleCreation,"['Immenstädter Straße 11 ', ' 87435 Kempten (Allgäu)']",87435,Kempten,Immenstädter Straße 11,"['Übersicht', 'Klassen', 'Workshops', 'Preise', 'Team']","Du bist neu hier? Melde dich bitte ausschließlich vorab per Mail!polecreatinstudio@gmail.comHerzlich Willkommen bei PoleCreation! Lerne dich selbst zu kreieren!Dein Studio in Kempten für Poledance, Fitness, Flexi und Akrobatik!​Dich erwartet in stets freundlicher und motivierender Atmosphäre ein Training ohne Druck. Egal ob Anfänger oder Fortgeschrittener, wenn auch Du ganzheitlich trainieren und dich lieben lernen möchtest, dann bist du hier genau richtig! Bei Interesse für Probetermine oder neue Anfängerkurse schreibe und gerne eine E-Mail an: polecreationstudio@gmail.com.Besuch uns auch gerne auf unserer Homepage:www.polecreation.de", polecreationstudio@gmail.com,http://www.polecreation.de,,https://www.eversports.de/s/polecreation,"['Fitness', 'Personal Training', 'Poledance', 'Personal Training', 'Personal Training', 'Poledance', '29 Rezensionen', 'Fitness', 'Yoga', 'Poledance', 'Personal Training', 'Akrobatik', 'Dehnung/Flexibilität']",Zum Stundenplan,2024-02-17 18:30:25,2024-02-17 18:30:25
ST Polestudio,"['Walkmühleweg 47', ' 75365 Calw']",75365,Calw,Walkmühleweg 47,"['Übersicht', 'Klassen', 'Preise', 'Team']","Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.", st_polestudio@yahoo.de,https://www.st-polestudio.de/,+49 1733746944,https://www.eversports.de/s/st-polestudio,"['Poledance', 'Poledance', 'Poledance', 'Poledance', '11 Rezensionen', 'Poledance']",Zum Stundenplan,2024-02-17 18:30:32,2024-02-17 18:30:32
Muse Pole Dance,"['Alte Jakobstraße 76', ' 10179 Berlin']",10179,Berlin,Alte Jakobstraße 76,['Übersicht'],"Das Muse Pole Dance Studio im Herzen Berlins bietet dir Poledance und Polefitnesskurse auf sehr hohem Niveau. Hier kannst du gemeinsam mit professionellen und motivierenden Trainern das Ziel verfolgen, dein maximales Potential an körperlicher Leistung und deinem tänzerischen Ausdruck herauszuholen. Dafür steht dir ein sehr wunderschön und gut ausgestattetes Studio zur Verfügung. Komme ins Muse Pole Dance Studio und arbeite hier auf einen stärkeren, fitteren und flexibleren Körper hin.", team@musepoledance.de,,+49 15204862824,https://www.eversports.de/s/muse-pole-dance,"['(Noch keine Bewertungen)', 'Poledance']",,2024-02-17 18:30:37,2024-02-17 18:30:37
PoleSensation,"['Südstraße 49', ' 74072 Heilbronn']",74072,Heilbronn,Südstraße 49,['Übersicht'],"PoleSensation in Heilbronn bietet Kurse in Poledance und Fitness. Melde dich einfach zu einem Schnupperkurs an, um die Welt des Poledance bei PoleSensation auszuprobieren und zu sehen, ob dir diese Sportart liegt. Tänzerische oder sportliche Vorkenntnisse sind nicht erforderlich. Feste Kurse finden von Montag bis Samstag statt und sind in verschiedene Level eingeteilt, von Anfänger bis Profi. Die Unterrichtseinheiten sind jeweils 75 Minuten lang.", info@polesensation.de,http:www.polesensation.de,+491727558233,https://www.eversports.de/s/polesensation,"['(Noch keine Bewertungen)', 'Poledance']",,2024-02-17 18:30:40,2024-02-17 18:30:40
